num,denom,score,overall_score,id,LB,UB,Performance
1847,4622,0.4,0.427842665,ID_1,0.38548921177718787,0.41373190422281214,worse than natl avg
5180,7471,0.693,0.427842665,ID_2,0.6828916154168678,0.7038036065831321,better than natl avg
1668,4083,0.409,0.427842665,ID_3,0.3934451500955438,0.42360113990445614,worse than natl avg
341,577,0.591,0.427842665,ID_4,0.5508711364179754,0.6311045995820247,better than natl avg
755,2378,0.317,0.427842665,ID_5,0.2987838107277805,0.3362035732722195,worse than natl avg
12,43,0.279,0.427842665,ID_6,0.14500185127327564,0.4131376827267244,worse than natl avg
24,150,0.16,0.427842665,ID_7,0.10133081217538462,0.2186691878246154,worse than natl avg
1486,4296,0.346,0.427842665,ID_8,0.3316791501665056,0.36012718183349435,worse than natl avg
19,153,0.124,0.427842665,ID_9,0.07192556761426055,0.17644044638573944,worse than natl avg
1088,2203,0.494,0.427842665,ID_10,0.4729941221363684,0.5147498638636316,better than natl avg
2625,6080,0.432,0.427842665,ID_11,0.4192928467619732,0.44419399523802683,not distinguishable
2,37,0.054,0.427842665,ID_12,-0.01880816695879916,0.12691636695879915,worse than natl avg
726,2075,0.35,0.427842665,ID_13,0.32935829664622207,0.37040073935377793,worse than natl avg
1148,3266,0.352,0.427842665,ID_14,0.33512589365860573,0.36787471834139424,worse than natl avg
1749,4476,0.391,0.427842665,ID_15,0.37645651693759313,0.4050448230624069,worse than natl avg
17,70,0.243,0.427842665,ID_16,0.14240217794584253,0.34331210805415746,worse than natl avg
922,1774,0.52,0.427842665,ID_17,0.49648007015339013,0.5429787798466098,better than natl avg
1049,2580,0.407,0.427842665,ID_18,0.38763510442511706,0.4255431895748829,worse than natl avg
112,557,0.201,0.427842665,ID_19,0.16779114639558684,0.23436325160441318,worse than natl avg
2311,6333,0.365,0.427842665,ID_20,0.3530572699241519,0.37677061607584816,worse than natl avg
577,985,0.586,0.427842665,ID_21,0.5550244375018646,0.6165491664981354,better than natl avg
98,344,0.285,0.427842665,ID_22,0.2371858495342263,0.3325815924657736,worse than natl avg
8,39,0.205,0.427842665,ID_23,0.07839658071820532,0.3318598292817947,worse than natl avg
604,1629,0.371,0.427842665,ID_24,0.34732357072397807,0.39423566727602194,worse than natl avg
168,708,0.237,0.427842665,ID_25,0.20595111520089873,0.26862515679910126,worse than natl avg
19,128,0.148,0.427842665,ID_26,0.08684452714253904,0.21003047285746096,worse than natl avg
17,100,0.17,0.427842665,ID_27,0.09637597131370766,0.24362402868629235,worse than natl avg
3260,7490,0.435,0.427842665,ID_28,0.42401873941301604,0.44647525258698395,not distinguishable
64,264,0.242,0.427842665,ID_29,0.19072845329240026,0.2941200307075998,worse than natl avg
200,758,0.264,0.427842665,ID_30,0.2324771977859288,0.2952272882140712,worse than natl avg
